"","ID","ECOREGION","region_id","median_num_excd8","median_perc_excd8","returntime_BS_fig4b","median_chl_a","median_grav","blast","cots","perc_80prefugia","median_source_str","total_species","Resistance_to_macroalgal","Recruitment","Larvae_dominant_corals"
"1",1,"Northern and Central Red Sea","2",3,20.06,35,0.201331704854965,112,100,"1",1.6,109,310,1,1,0
"2",2,"Southern Red Sea","2",1,0.69,35,0.894144713878632,100.5,0,"1",12.52,310,299,1,1,0
"3",3,"Gulf of Aden","2",0,0,32.5,0.560400247573853,173,0,"1",46.34,312,322,1,1,0
"4",4,"Western Arabian Sea","6",0,8.62,32.5,1.67222172021866,7,0,"0",28.98,28,121,1,1,0
"5",5,"Gulf of Oman","6",1,1.29,32.5,2.00336623191833,124,0,"1",0,6,126,1,1,0
"6",6,"Arabian (Persian) Gulf","6",0,18.94,35,1.16521769762039,96.5,0,"0",0,34,77,1,1,0
"7",7,"Central Somali Coast","2",0,0,32.5,NA,268.5,0,"0",100,30,225,1,1,0
"8",8,"Northern Monsoon Current Coast","2",1,0,32.5,0.537533551454544,74,0,"0",15.02,30,347,1,1,0
"9",9,"East African Coral Coast","2",1,0,32.5,0.209483899176121,90,1000,"1",54.76,47,327,1,1,0
"10",10,"Delagoa","2",0,0,32.5,0.280247524380684,54,0,"0",71.43,17,153,1,1,0
"11",11,"Bight of Sofala/Swamp Coast","2",2,0,32.5,0.324587017297745,42,0,"1",0,10,153,1,1,0
"12",12,"Natal","2",0,0,35,0.219217494130135,NA,0,"0",NA,NA,104,1,1,0
"13",13,"Seychelles","2",1,0,32.5,0.198411390185356,0,0,"1",33.27,6,367,1,1,0
"14",14,"Western and Northern Madagascar","2",1,5.56,10.8,0.189823821187019,37,0,"1",31.56,34,399,1,1,0
"15",15,"Southeast Madagascar","2",0,0,31.5,0.332946464419365,106,0,"0",83.33,10,153,1,1,0
"16",16,"Mascarene Islands","2",2,0,8.3,0.0886435508728027,311,10,"0",0,15,311,1,1,0
"17",17,"Maldives","2",0,0,35,0.218029126524925,10,0,"1",1.64,9,292,1,1,0
"18",18,"Malacca Strait","3",0,0,35,0.727688252925873,292,100,"0",100,12.5,408,1,1,0
"19",19,"Western Sumatra","3",0,0,35,0.239236995577812,84,1000,"1",98.83,82,340,1,1,0
"20",20,"Southern Java","3",0,0,32.5,0.542361617088318,575,100,"1",70.88,21,400,1,1,0
"21",21,"Lesser Sunda","3",1,0.98,32.5,0.322297394275665,52,1000,"1",49.82,48,545,1,1,0
"22",22,"Sulawesi Sea/Makassar Strait","3",0,0.04,35,0.247003480792046,57,1000,"1",59.3,82,571,1,1,0
"23",23,"Banda Sea","3",0,1.47,32.5,0.254851788282394,27,1000,"1",89.09,41,562,1,1,0
"24",24,"Southeast Papua New Guinea","3",3,3.44,31.5,0.349831759929657,8,0,"1",35.6,15,523,1,1,0
"25",25,"Solomon Sea","3",4,27.48,31.5,0.183380641043186,2,0,"1",47.68,52,523,1,1,0
"26",26,"Solomon Archipelago","3",0,4.74,31.5,0.144388265907764,4,1000,"1",89.39,68,516,1,1,0
"27",27,"Bismarck Sea","3",2,6.5,35,0.174336545169353,6,1000,"1",99.24,19,538,1,1,0
"28",28,"Papua","3",0,1.14,35,0.270374998450279,4,1000,"1",91.37,42,582,1,1,0
"29",29,"Halmahera","3",0,0,35,0.243189245462418,10,100,"1",90.99,130,564,1,1,0
"30",30,"Northeast Sulawesi","3",0,0,35,0.156245939433575,46,1000,"0",99.2,61,546,1,1,0
"31",31,"Palawan/North Borneo","3",0,0.62,16,0.299275070428848,37,1000,"1",82.08,42,567,1,1,0
"32",32,"Eastern Philippines","3",0,3.46,2.2,0.264338776469231,367,1000,"1",45.68,279,560,1,1,0
"33",33,"Sunda Shelf/Java Sea","3",0,0.26,32.5,0.304747015237808,48,100,"1",97.19,155,530,1,1,0
"34",34,"South Kuroshio","4",3,4.39,1.7,0.124028012156487,56.5,1000,"1",0.74,23.5,420,1,1,0
"35",35,"Southern China","4",4,33.67,1.9,0.966654717922211,974.5,100,"1",39.95,13,381,1,1,0
"36",36,"East China Sea","4",3,39.21,1.9,0.473333582282066,431,100,"0",7.43,7.5,392,1,1,0
"37",37,"Central Kuroshio Current","4",3,10.96,2.8,0.143960200250149,26,0,"0",0,2,227,1,1,0
"38",38,"Ogasawara Islands","4",2.5,0,2,0.118223797529936,0,0,"0",NA,1,218,1,1,0
"39",39,"Gulf of Papua","3",2,8.47,32.5,0.203533470630646,2,0,"1",33.21,30.5,334,1,1,0
"40",40,"Torres Strait Northern Great Barrier Reef","4",1,8.25,32.5,0.202889040112495,1,0,"1",44.16,37,411,1,1,0
"41",41,"Central and Southern Great Barrier Reef","4",1,0.1,16,0.27009043097496,2,0,"1",28.78,376,404,1,1,0
"42",42,"Coral Sea","4",4,35.3,5.7,0.084925539791584,0,0,"0",0,489,378,1,1,0
"43",43,"West Caroline Islands","4",1,0,6.7,0.0694173127412796,0,100,"1",0.79,2,459,1,1,0
"44",44,"Mariana Islands","4",1,0,2.4,0.0372126959264278,7.5,10,"1",0,3,278,1,1,0
"45",45,"East Caroline Islands","4",4,0.45,6.7,0.0536919590085745,0,100,"1",0.33,9,414,1,1,0
"46",45,"East Caroline Islands","4",4,0.45,16,0.0536919590085745,0,100,"1",0.33,9,414,1,1,0
"47",46,"Marshall Islands","4",0,0.28,6.7,0.0397815573960543,1,0,"1",32.95,14,309,1,1,0
"48",47,"Gilbert/Ellis Islands","4",3,28.83,32.5,0.146866992115974,1,0,"1",39.53,2,316,1,1,0
"49",48,"Vanuatu","4",0,1.12,4.4,0.0953931659460068,4,0,"1",81.88,16,391,1,1,0
"50",49,"New Caledonia","4",1,4.62,8.3,0.118760675191879,2,0,"1",1.95,134,439,1,1,0
"51",50,"Fiji Islands","4",1,6.3,16,0.0936916172504425,7,100,"1",58.58,265,395,1,1,0
"52",51,"Tonga Islands","4",1,0.12,6.7,0.101200070232153,1,0,"1",0,45,313,1,1,0
"53",52,"Samoa Islands","4",2,9.12,6.7,0.0535803288221359,3.5,100,"1",91.04,19,313,1,1,0
"54",53,"Hawaii","4",1,0,31.5,0.0767781212925911,0,0,"1",0,14,77,1,1,0
"55",54,"Line Islands","4",3,0,32.5,0.143334172666073,0,0,"1",13.11,2,210,1,1,0
"56",55,"Phoenix/Tokelau/Northern Cook Islands","4",2,0.86,32.5,0.0658759921789169,0,0,"1",12.09,2,230,1,1,0
"57",56,"Southern Cook/Austral Islands","4",1,4.27,32.5,0.0267835408449173,1,0,"1",0,4,153,1,1,0
"58",57,"Society Islands","4",0,0,32.5,0.0491501018404961,7,0,"1",96.22,15,176,1,1,0
"59",58,"Tuamotus","4",0,0,32.5,0.0481327399611473,0,0,"1",66.06,50,117,1,1,0
"60",59,"Rapa-Pitcairn","4",0,5.52,35,0.0215952042490244,0,0,"0",11.38,2,104,1,1,0
"61",60,"Marquesas","4",1,0,35,0.208701834082603,NA,0,"0",NA,1,23,1,1,0
"62",61,"Easter Island","4",0,0,32.5,NA,NA,0,"0",NA,NA,13,1,1,0
"63",62,"Cortezian","5",2,4.46,32.5,NA,65.5,0,"1",0,3,16,1,0.5,1
"64",63,"Mexican Tropical Pacific","5",4,17.86,8.3,NA,NA,0,"0",NA,1,23,1,0.5,1
"65",64,"Revillagigedos","5",7,77.94,8.3,0.128116711974144,NA,0,"1",NA,1,23,1,0.5,1
"66",65,"Clipperton","5",0,0,32.5,0.157642848789692,0,0,"1",100,1,10,1,0.5,1
"67",66,"Chiapas-Nicaragua","5",1,0,32.5,2.07793056964874,209,0,"1",40,4,24,1,0.5,1
"68",67,"Nicoya","5",2,0,32.5,0.491528898477554,82,0,"1",4.96,8,23,1,0.5,1
"69",68,"Panama Bight","5",1,0,32.5,1.19752275943756,35.5,0,"1",66.3,6,23,1,0.5,1
"70",70,"Cocos Islands","5",2,0,35,0.145730927586555,0,0,"1",0,1,18,1,0.5,1
"71",71,"Eastern Galapagos Islands","5",4,7.89,35,0.374038949608803,0,0,"0",0,8,19,1,0.5,1
"72",72,"Northern Galapagos Islands","5",7.5,100,35,0.367958247661591,0,0,"1",0,1,19,1,0.5,1
"73",73,"Western Galapagos Islands","5",0,0,35,0.926973104476929,0,0,"0",NA,NA,19,1,0.5,1
"74",74,"Northern Gulf of Mexico","1",2,0,16,NA,19,0,"0",0,2,27,0,0,0.5
"75",75,"Southern Gulf of Mexico","1",3,22.28,10.8,0.270030319690704,15,0,"0",15.1,7,49,0,0,0.5
"76",76,"Western Caribbean","1",3,27.67,16,0.127223417162895,75.5,0,"0",36.79,137,60,0,0,0.5
"77",77,"Southwestern Caribbean","1",4,43.48,16,0.248533934354782,26,100,"0",28.12,55,60,0,0,0.5
"78",78,"Southern Caribbean","1",5,51.64,32.5,0.255591511726379,122,0,"0",0,16,52,0,0,0.5
"79",79,"Eastern Caribbean","1",2,0,10.8,0.139195032417774,78,10,"0",0,132,59,0,0,0.5
"80",80,"Greater Antilles","1",2,2.14,8.3,0.118319161236286,143.5,100,"0",36.81,86,59,0,0,0.5
"81",81,"Bahamian","1",2,1.17,5.7,0.0911270081996918,19,10,"0",23.94,399,62,0,0,0.5
"82",82,"Floridian","1",1,4.77,5.7,0.173525676131248,163.5,0,"0",37.57,45,62,0,0,0.5
"83",83,"Carolinian","1",1,0,32.5,NA,NA,0,"0",NA,NA,6,0,0,0.5
"84",84,"Bermuda","1",3,13.14,10.8,0.103534609079361,23.5,0,"0",NA,4,20,0,0,0.5
"85",85,"Northeastern Brazil","1",2,0,35,0.288525834679604,475,0,"0",56.12,39.5,16,0,0,0.5
"86",86,"Eastern Brazil","1",2,8.03,35,1.98304563760757,59,1000,"0",12.78,18,16,0,0,0.5
"87",87,"Sao Pedro and Sao Paulo Islands","1",1,0,35,NA,NA,0,"0",NA,1,16,0,0,0.5
"88",88,"Fernando de Naronha and Atoll das Rocas","1",2,0,35,0.100172020494938,8.5,0,"0",83.33,5,16,0,0,0.5
"89",89,"Trindade and Martin Vaz Islands","1",2,0,35,NA,0,0,"0",0,3,16,0,0,0.5
